joannezhao, 47720, Wed May 28 21:13:33 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 0
Sent AM_AVATAR_READY signal with AvatarID: 1
Sent AM_AVATAR_READY signal with AvatarID: 2


Sent AM_AVATAR_READY signal with AvatarID: 5
Sent AM_AVATAR_READY signal with AvatarID: 3Sent AM_AVATAR_READY signal with AvatarID: 6
Sent AM_AVATAR_READY signal with AvatarID: 4

[Avatar 1] Turn 134: (0, 1) AM_AVATAR_MOVE Direction: SOUTH[Avatar 4] Turn 137: (0, 1) AM_AVATAR_MOVE Direction: SOUTH[Avatar 5] Turn 138: (0, 1) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 6] Turn 139: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 0] Turn 140: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 142: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 141: (0, 2) AM_AVATAR_MOVE Direction: EAST

[Avatar 3] Turn 143: (2, 0) AM_AVATAR_MOVE Direction: NULL[Avatar 4] Turn 144: (0, 2) AM_AVATAR_MOVE Direction: EAST
[Avatar 5] Turn 145: (0, 2) AM_AVATAR_MOVE Direction: EAST
[Avatar 6] Turn 146: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 0] Turn 147: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 148: (1, 2) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 149: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 3] Turn 150: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 151: (1, 2) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 152: (1, 2) AM_AVATAR_MOVE Direction: NORTH
[Avatar 6] Turn 153: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 0] Turn 154: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 155: (1, 1) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 159: (1, 1) AM_AVATAR_MOVE Direction: NORTH

[Avatar 2] Turn 156: (2, 0) AM_AVATAR_MOVE Direction: NULL[Avatar 3] Turn 157: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 158: (1, 1) AM_AVATAR_MOVE Direction: NORTH
[Avatar 6] Turn 160: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 0] Turn 161: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 162: (1, 0) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 164: (2, 0) AM_AVATAR_MOVE Direction: NULL


[Avatar 5] Turn 166: (1, 0) AM_AVATAR_MOVE Direction: EAST[Avatar 2] Turn 163: (2, 0) AM_AVATAR_MOVE Direction: NULL[Avatar 4] Turn 165: (1, 0) AM_AVATAR_MOVE Direction: EAST
Maze solved in 167 turns
Hash: 2698117909l
